Nom;Prenom;email;age;Domaine_professionnel;Compétences_acquises;Compétences_en_court;Niveau_de_maîtrise;Compétences_cibles;Durée_apprentissage_par_compétence;Dernière_activité;Score
Jackson;Walter;curtisbelinda@hotmail.com;59;Finance;"DevOps, SQL, Java";"Machine Learning, Gestion de projet";Débutant;"Kubernetes, Deep Learning";"5 mois, 1 mois, 5 mois";05/01/2025;8
Williams;Mackenzie;catherine85@yahoo.com;47;Médecine;"SQL, Gestion de projet, Java";"SQL, Cloud";Débutant;"Cloud Computing, Blockchain";"4 mois, 4 mois, 2 mois";12/01/2025;2
Lopez;Arthur;uanderson@hotmail.com;50;Médecine;"DevOps, Java, Gestion de projet";"DevOps, Machine Learning";Intermédiaire;"Cloud Computing, Deep Learning";"2 mois, 2 mois, 5 mois";02/02/2025;8
Washington;Danny;gonzalezvictor@newton-miller.com;39;Informatique;"Gestion de projet, Machine Learning, Python";"DevOps, Gestion de projet";Débutant;"Blockchain, Kubernetes";"5 mois, 6 mois, 1 mois";15/01/2025;1
Benson;Heather;mgeorge@hotmail.com;45;Médecine;"Gestion de projet, Python, DevOps";"Gestion de projet, Python";Intermédiaire;"Kubernetes, Docker";"3 mois, 1 mois, 3 mois";04/02/2025;2
Turner;Jessica;cynthiawolfe@howell-wallace.com;29;Ingénierie;"Java, Gestion de projet, Machine Learning";"Cloud, Java";Intermédiaire;"Cloud Computing, Docker";"3 mois, 1 mois, 4 mois";23/01/2025;3
Bradshaw;Chelsea;andrea09@hotmail.com;55;Médecine;"DevOps, Cloud, SQL";"Gestion de projet, SQL";Avancé;"Blockchain, Docker";"3 mois, 4 mois, 5 mois";26/02/2025;8
Thomas;Kyle;navarrodillon@collins.biz;29;Finance;"Python, SQL, DevOps";"Python, Gestion de projet";Intermédiaire;"Kubernetes, Cloud Computing";"5 mois, 3 mois, 1 mois";26/02/2025;4
Johnson;Angela;xmueller@hotmail.com;21;Médecine;"Gestion de projet, Python, SQL";"Machine Learning, SQL";Débutant;"Deep Learning, Cloud Computing";"4 mois, 6 mois, 5 mois";12/01/2025;9
Murphy;Nicole;erosales@griffith-delgado.net;32;Finance;"Machine Learning, DevOps, Gestion de projet";"Python, Java";Intermédiaire;"Deep Learning, Kubernetes";"1 mois, 4 mois, 1 mois";10/02/2025;8
Martinez;Johnny;wilsonkrista@hotmail.com;21;Marketing;"SQL, Python, Machine Learning";"Machine Learning, SQL";Intermédiaire;"Deep Learning, Kubernetes";"4 mois, 1 mois, 3 mois";04/01/2025;2
Sherman;Kathleen;justinroth@barajas.com;54;Médecine;"Java, DevOps, Python";"Gestion de projet, DevOps";Avancé;"Blockchain, Cloud Computing";"6 mois, 4 mois, 4 mois";14/01/2025;4
Maldonado;Jennifer;gbryan@hotmail.com;44;Ingénierie;"SQL, Cloud, Python";"Cloud, Python";Débutant;"Blockchain, Docker";"1 mois, 5 mois, 2 mois";25/02/2025;4
Butler;Adam;kyle14@yahoo.com;32;Informatique;"Cloud, Python, Machine Learning";"Gestion de projet, Cloud";Intermédiaire;"Blockchain, Docker";"2 mois, 4 mois, 2 mois";16/02/2025;6
Mcmillan;Kurt;rachel39@obrien.net;59;Médecine;"SQL, Python, Cloud";"Java, Cloud";Avancé;"Kubernetes, Docker";"3 mois, 2 mois, 6 mois";17/01/2025;5
Wheeler;Elizabeth;katherinesmith@huerta.com;42;Finance;"DevOps, Machine Learning, Java";"Gestion de projet, DevOps";Intermédiaire;"Deep Learning, Kubernetes";"3 mois, 5 mois, 1 mois";11/02/2025;3
Pacheco;Joseph;hillkevin@yahoo.com;55;Médecine;"Gestion de projet, Java, Python";"Machine Learning, DevOps";Avancé;"Docker, Deep Learning";"2 mois, 3 mois, 3 mois";17/02/2025;5
Lawrence;Robert;wilsonfrancisco@hotmail.com;59;Informatique;"Python, Gestion de projet, SQL";"Java, Machine Learning";Avancé;"Kubernetes, Cloud Computing";"4 mois, 2 mois, 4 mois";16/01/2025;9
Ellison;Travis;burnsandrew@gmail.com;56;Marketing;"Gestion de projet, Cloud, DevOps";"Python, Gestion de projet";Avancé;"Deep Learning, Docker";"3 mois, 4 mois, 5 mois";31/01/2025;6
Zamora;Robert;kgonzalez@gmail.com;49;Marketing;"Java, SQL, DevOps";"Java, Python";Avancé;"Blockchain, Kubernetes";"1 mois, 4 mois, 2 mois";06/02/2025;10
Johnson;Melinda;christopher76@yahoo.com;46;Finance;"Machine Learning, Python, Java";"Python, SQL";Débutant;"Kubernetes, Blockchain";"6 mois, 4 mois, 2 mois";20/01/2025;8
Perez;Anna;daniellegibbs@solis.com;45;Médecine;"DevOps, SQL, Cloud";"Python, Java";Débutant;"Deep Learning, Kubernetes";"5 mois, 4 mois, 6 mois";17/02/2025;3
Gardner;Travis;gpope@maxwell-meyer.info;26;Ingénierie;"Machine Learning, SQL, Cloud";"Python, DevOps";Débutant;"Kubernetes, Docker";"6 mois, 1 mois, 3 mois";13/02/2025;6
Williams;Kayla;zamoragabriella@bryant.info;40;Informatique;"Java, Python, DevOps";"Python, Java";Avancé;"Deep Learning, Cloud Computing";"4 mois, 4 mois, 6 mois";28/01/2025;6
Jordan;Morgan;boyerchristine@miller-gonzales.com;60;Finance;"Python, SQL, Gestion de projet";"Java, DevOps";Avancé;"Cloud Computing, Blockchain";"5 mois, 5 mois, 4 mois";12/02/2025;7
Jones;David;jfoster@adkins.com;21;Finance;"SQL, DevOps, Java";"Python, Cloud";Débutant;"Cloud Computing, Deep Learning";"3 mois, 6 mois, 2 mois";20/01/2025;9
Phelps;Brian;tdavis@gmail.com;42;Finance;"Gestion de projet, Machine Learning, SQL";"Cloud, SQL";Débutant;"Cloud Computing, Kubernetes";"3 mois, 2 mois, 6 mois";15/01/2025;10
Rodriguez;Patricia;dustin20@torres.com;45;Médecine;"Cloud, SQL, Python";"Gestion de projet, Java";Débutant;"Cloud Computing, Docker";"3 mois, 6 mois, 6 mois";15/01/2025;5
Flowers;Kimberly;yburgess@smith-shepard.com;20;Ingénierie;"Python, Gestion de projet, Machine Learning";"Java, Cloud";Débutant;"Kubernetes, Cloud Computing";"2 mois, 5 mois, 1 mois";14/01/2025;1
Tucker;Tabitha;vcampbell@rodgers.biz;45;Marketing;"Python, Java, Gestion de projet";"DevOps, Java";Débutant;"Deep Learning, Cloud Computing";"6 mois, 1 mois, 3 mois";24/01/2025;10
Rodriguez;Heather;john79@gmail.com;53;Ingénierie;"Java, SQL, DevOps";"Cloud, Python";Intermédiaire;"Kubernetes, Deep Learning";"2 mois, 3 mois, 6 mois";02/02/2025;10
Owens;Cody;rachel66@vargas-bartlett.org;25;Finance;"Cloud, Java, SQL";"DevOps, Gestion de projet";Avancé;"Kubernetes, Cloud Computing";"4 mois, 3 mois, 6 mois";21/02/2025;4
Alvarez;Kimberly;powellelizabeth@sweeney-hall.biz;30;Marketing;"Gestion de projet, DevOps, Machine Learning";"SQL, Java";Débutant;"Kubernetes, Docker";"3 mois, 6 mois, 6 mois";05/01/2025;1
Pruitt;Debra;hamiltonsteve@gmail.com;54;Médecine;"Gestion de projet, Python, Java";"Machine Learning, Java";Débutant;"Deep Learning, Kubernetes";"4 mois, 5 mois, 6 mois";12/01/2025;2
Parker;Clifford;aprilhardin@gmail.com;44;Marketing;"Machine Learning, SQL, Gestion de projet";"Cloud, Python";Intermédiaire;"Cloud Computing, Docker";"3 mois, 5 mois, 1 mois";01/02/2025;9
Stevenson;James;tinagiles@nelson.com;49;Marketing;"Cloud, Machine Learning, DevOps";"Java, Cloud";Intermédiaire;"Blockchain, Deep Learning";"6 mois, 4 mois, 5 mois";08/01/2025;6
Singleton;Megan;natasha89@moon.info;41;Informatique;"Cloud, Gestion de projet, Python";"DevOps, SQL";Avancé;"Deep Learning, Docker";"2 mois, 1 mois, 4 mois";29/01/2025;4
Murphy;Robin;samuelsandoval@yahoo.com;59;Informatique;"Java, SQL, Gestion de projet";"Cloud, SQL";Intermédiaire;"Blockchain, Deep Learning";"1 mois, 4 mois, 5 mois";20/02/2025;3
Robinson;Christian;loganneal@gmail.com;36;Ingénierie;"DevOps, Machine Learning, Python";"DevOps, Java";Débutant;"Blockchain, Cloud Computing";"5 mois, 6 mois, 2 mois";24/02/2025;1
Perry;Jason;bryan59@walter.com;26;Informatique;"Python, Machine Learning, Java";"Machine Learning, Python";Intermédiaire;"Kubernetes, Blockchain";"2 mois, 5 mois, 4 mois";22/01/2025;2
Turner;Damon;amanda37@gmail.com;31;Informatique;"Cloud, DevOps, SQL";"Machine Learning, SQL";Avancé;"Docker, Blockchain";"1 mois, 3 mois, 4 mois";17/01/2025;9
Woodward;Danielle;catherinejohnson@hotmail.com;43;Ingénierie;"Gestion de projet, Cloud, SQL";"Gestion de projet, DevOps";Débutant;"Deep Learning, Kubernetes";"1 mois, 1 mois, 4 mois";22/01/2025;6
Parker;David;jasongreen@reid-fernandez.net;33;Marketing;"SQL, Java, Cloud";"Gestion de projet, Machine Learning";Intermédiaire;"Deep Learning, Cloud Computing";"4 mois, 3 mois, 4 mois";05/02/2025;2
Martinez;James;duanebarr@cross.net;54;Ingénierie;"SQL, Java, DevOps";"DevOps, Java";Débutant;"Cloud Computing, Docker";"1 mois, 1 mois, 3 mois";28/01/2025;3
Bentley;Erika;calvinarmstrong@gmail.com;23;Ingénierie;"Java, DevOps, Machine Learning";"Machine Learning, DevOps";Débutant;"Deep Learning, Blockchain";"4 mois, 5 mois, 1 mois";16/02/2025;5
Harvey;Matthew;shawnbryant@yahoo.com;48;Informatique;"Java, Machine Learning, Gestion de projet";"Gestion de projet, Machine Learning";Débutant;"Docker, Blockchain";"1 mois, 4 mois, 5 mois";25/01/2025;6
Keller;Christopher;douglas15@moore.biz;38;Marketing;"Cloud, SQL, Machine Learning";"Python, SQL";Intermédiaire;"Docker, Cloud Computing";"4 mois, 1 mois, 5 mois";11/01/2025;3
Rodriguez;Jeffery;washingtonkelly@hotmail.com;49;Finance;"Java, SQL, Python";"Cloud, Java";Intermédiaire;"Cloud Computing, Docker";"6 mois, 6 mois, 2 mois";03/02/2025;10
Campbell;Michelle;greg98@yahoo.com;34;Informatique;"Machine Learning, Cloud, Gestion de projet";"Python, DevOps";Intermédiaire;"Deep Learning, Kubernetes";"1 mois, 1 mois, 3 mois";21/02/2025;5
Banks;Mary;michellepacheco@jackson-mcmillan.com;36;Ingénierie;"Cloud, Python, Java";"SQL, Java";Intermédiaire;"Cloud Computing, Docker";"3 mois, 6 mois, 3 mois";15/02/2025;7
Pham;Vincent;jeremyprice@yahoo.com;60;Médecine;"Python, Gestion de projet, DevOps";"DevOps, Python";Débutant;"Deep Learning, Kubernetes";"3 mois, 2 mois, 2 mois";16/01/2025;3
Hopkins;Jacqueline;lindsey89@dudley.com;35;Marketing;"Python, Java, DevOps";"Cloud, Gestion de projet";Avancé;"Kubernetes, Blockchain";"2 mois, 3 mois, 3 mois";23/01/2025;5
Frazier;Paul;delacruzlaurie@delgado.info;30;Médecine;"SQL, Gestion de projet, Cloud";"Machine Learning, DevOps";Intermédiaire;"Docker, Blockchain";"3 mois, 6 mois, 3 mois";05/02/2025;6
Banks;Erik;travisturner@little.com;45;Finance;"Python, Machine Learning, Java";"Python, Cloud";Intermédiaire;"Kubernetes, Deep Learning";"3 mois, 6 mois, 5 mois";02/03/2025;6
Meyer;Steven;danieljacobs@gmail.com;40;Marketing;"Java, Machine Learning, Cloud";"DevOps, SQL";Débutant;"Deep Learning, Docker";"2 mois, 4 mois, 3 mois";11/02/2025;6
Orozco;Steven;toddjaclyn@gmail.com;57;Informatique;"DevOps, Python, SQL";"Cloud, DevOps";Intermédiaire;"Kubernetes, Deep Learning";"1 mois, 5 mois, 5 mois";21/01/2025;3
Harrington;Melissa;gabrielle95@patel.com;42;Informatique;"Gestion de projet, Python, Java";"Machine Learning, Cloud";Intermédiaire;"Blockchain, Cloud Computing";"4 mois, 2 mois, 2 mois";24/02/2025;8
Nunez;Alexandra;walkercourtney@hotmail.com;28;Finance;"DevOps, SQL, Machine Learning";"Cloud, Python";Intermédiaire;"Kubernetes, Docker";"1 mois, 2 mois, 1 mois";17/01/2025;9
Brown;Jonathan;gadams@mclaughlin.org;24;Ingénierie;"Java, Machine Learning, SQL";"Gestion de projet, DevOps";Intermédiaire;"Docker, Cloud Computing";"5 mois, 4 mois, 2 mois";09/02/2025;9
Mack;Michelle;wileyjacob@yahoo.com;35;Informatique;"Gestion de projet, SQL, Java";"Python, Java";Débutant;"Docker, Deep Learning";"1 mois, 5 mois, 3 mois";08/02/2025;9
Nielsen;Cameron;linda21@yahoo.com;36;Informatique;"SQL, Python, Java";"Machine Learning, Java";Débutant;"Kubernetes, Docker";"5 mois, 3 mois, 6 mois";02/01/2025;10
Wise;Adam;michelle79@gmail.com;31;Ingénierie;"Machine Learning, Cloud, SQL";"Gestion de projet, DevOps";Intermédiaire;"Docker, Cloud Computing";"3 mois, 6 mois, 2 mois";19/01/2025;10
Hays;Ann;ashley77@small.com;52;Médecine;"Cloud, Python, SQL";"Cloud, Gestion de projet";Intermédiaire;"Docker, Deep Learning";"4 mois, 3 mois, 3 mois";21/02/2025;4
Barnett;Jamie;xbrown@yahoo.com;35;Finance;"Cloud, Machine Learning, Java";"Java, Gestion de projet";Avancé;"Kubernetes, Cloud Computing";"6 mois, 1 mois, 4 mois";28/02/2025;5
Hernandez;Andrea;davidyates@mills.com;56;Marketing;"Java, Python, DevOps";"SQL, DevOps";Débutant;"Deep Learning, Blockchain";"3 mois, 6 mois, 1 mois";18/02/2025;3
Miller;Mary;ifarmer@nelson.biz;43;Informatique;"Gestion de projet, SQL, Machine Learning";"Python, Java";Débutant;"Cloud Computing, Docker";"3 mois, 5 mois, 6 mois";08/02/2025;8
Wilson;Miranda;martin70@porter-gomez.com;58;Ingénierie;"Machine Learning, SQL, Cloud";"DevOps, Java";Intermédiaire;"Deep Learning, Docker";"6 mois, 3 mois, 1 mois";01/03/2025;7
Silva;Monica;bryan43@yahoo.com;21;Médecine;"Python, DevOps, SQL";"SQL, Java";Intermédiaire;"Kubernetes, Deep Learning";"4 mois, 3 mois, 5 mois";25/02/2025;10
Allen;Jonathon;nwebb@yahoo.com;32;Ingénierie;"SQL, Gestion de projet, DevOps";"DevOps, SQL";Intermédiaire;"Blockchain, Docker";"2 mois, 2 mois, 2 mois";16/02/2025;9
Jimenez;Carl;hharvey@hotmail.com;32;Finance;"Java, Gestion de projet, Cloud";"Cloud, Python";Avancé;"Blockchain, Kubernetes";"6 mois, 4 mois, 6 mois";25/01/2025;3
Mendoza;Crystal;khuber@yahoo.com;25;Informatique;"Machine Learning, Python, Gestion de projet";"Machine Learning, Gestion de projet";Avancé;"Deep Learning, Kubernetes";"3 mois, 1 mois, 4 mois";25/02/2025;6
Jennings;Renee;coopermarissa@hotmail.com;22;Ingénierie;"Gestion de projet, Cloud, Machine Learning";"Cloud, DevOps";Avancé;"Cloud Computing, Kubernetes";"6 mois, 2 mois, 4 mois";24/02/2025;10
Pena;William;brenda79@bolton.com;57;Informatique;"SQL, DevOps, Python";"Gestion de projet, SQL";Intermédiaire;"Blockchain, Deep Learning";"5 mois, 6 mois, 4 mois";20/01/2025;1
Daniels;Kimberly;mooreangela@hotmail.com;43;Ingénierie;"SQL, DevOps, Cloud";"Machine Learning, Gestion de projet";Avancé;"Blockchain, Kubernetes";"2 mois, 5 mois, 2 mois";18/02/2025;5
Ortega;David;carpenterlindsey@mason.com;27;Informatique;"DevOps, SQL, Java";"Cloud, Python";Avancé;"Kubernetes, Docker";"4 mois, 2 mois, 6 mois";10/01/2025;5
Ramos;Clifford;phillipslisa@gmail.com;56;Ingénierie;"Machine Learning, Cloud, DevOps";"Java, Gestion de projet";Débutant;"Cloud Computing, Kubernetes";"5 mois, 2 mois, 4 mois";20/02/2025;8
Franklin;Jonathan;cbarber@ramirez-miller.com;53;Marketing;"Gestion de projet, Machine Learning, Java";"Gestion de projet, Cloud";Avancé;"Deep Learning, Docker";"1 mois, 5 mois, 2 mois";12/01/2025;1
Brown;Haley;lauren98@doyle.com;57;Finance;"Java, Cloud, Python";"Gestion de projet, DevOps";Avancé;"Blockchain, Kubernetes";"4 mois, 3 mois, 5 mois";24/02/2025;4
Hughes;Alexandra;hallnicole@hotmail.com;42;Finance;"Java, Machine Learning, Python";"Gestion de projet, Cloud";Intermédiaire;"Deep Learning, Kubernetes";"4 mois, 4 mois, 6 mois";12/01/2025;3
Carter;Scott;thomascarter@hansen.com;43;Marketing;"DevOps, Java, Machine Learning";"DevOps, Gestion de projet";Avancé;"Deep Learning, Blockchain";"6 mois, 2 mois, 1 mois";28/01/2025;6
Leonard;Lee;brenda17@yahoo.com;49;Marketing;"SQL, DevOps, Machine Learning";"Gestion de projet, SQL";Intermédiaire;"Kubernetes, Cloud Computing";"4 mois, 2 mois, 4 mois";16/02/2025;3
Weeks;Shelley;fletcheramber@yahoo.com;53;Médecine;"Machine Learning, DevOps, Java";"Machine Learning, Java";Débutant;"Docker, Cloud Computing";"2 mois, 4 mois, 5 mois";01/01/2025;3
Scott;Eric;thomas53@yahoo.com;28;Informatique;"Python, SQL, Machine Learning";"Gestion de projet, SQL";Débutant;"Docker, Kubernetes";"2 mois, 1 mois, 1 mois";18/02/2025;9
Moore;Kaitlin;schneiderpamela@yahoo.com;20;Médecine;"Machine Learning, Python, SQL";"Java, SQL";Débutant;"Deep Learning, Cloud Computing";"3 mois, 2 mois, 2 mois";16/01/2025;2
Williams;Brittany;burnswilliam@hotmail.com;37;Informatique;"Machine Learning, DevOps, Python";"Gestion de projet, Java";Avancé;"Kubernetes, Cloud Computing";"4 mois, 4 mois, 5 mois";25/02/2025;9
Singleton;Kelly;wrightlinda@king.com;52;Informatique;"DevOps, Python, SQL";"Python, Gestion de projet";Intermédiaire;"Deep Learning, Blockchain";"4 mois, 4 mois, 2 mois";24/02/2025;6
Wood;Ronald;shanefuller@graham.com;21;Marketing;"SQL, Java, Gestion de projet";"DevOps, Cloud";Débutant;"Docker, Kubernetes";"3 mois, 3 mois, 1 mois";11/02/2025;1
Rivera;Brian;ybowen@hotmail.com;38;Ingénierie;"Cloud, Gestion de projet, DevOps";"Java, Gestion de projet";Intermédiaire;"Docker, Deep Learning";"3 mois, 2 mois, 6 mois";27/01/2025;8
Wiley;Amber;lewismaria@yahoo.com;30;Ingénierie;"Gestion de projet, DevOps, Python";"Gestion de projet, Python";Intermédiaire;"Kubernetes, Docker";"6 mois, 5 mois, 5 mois";30/01/2025;3
Bailey;Steven;gregorybauer@hotmail.com;24;Médecine;"Machine Learning, DevOps, SQL";"Machine Learning, Cloud";Avancé;"Kubernetes, Cloud Computing";"5 mois, 3 mois, 4 mois";20/02/2025;2
Sanchez;Marc;eric78@gmail.com;28;Informatique;"Gestion de projet, Machine Learning, SQL";"Cloud, SQL";Intermédiaire;"Blockchain, Cloud Computing";"5 mois, 1 mois, 5 mois";08/02/2025;4
Williams;Tamara;millerdawn@rogers-lawson.com;39;Informatique;"Cloud, Machine Learning, DevOps";"Cloud, Machine Learning";Intermédiaire;"Deep Learning, Cloud Computing";"3 mois, 2 mois, 6 mois";30/01/2025;8
Robinson;Dawn;carolyn87@yahoo.com;49;Informatique;"Cloud, Machine Learning, SQL";"DevOps, Gestion de projet";Débutant;"Deep Learning, Kubernetes";"4 mois, 5 mois, 3 mois";26/01/2025;5
Hall;David;pattonbradley@gmail.com;52;Finance;"Gestion de projet, Python, Cloud";"Python, Gestion de projet";Débutant;"Cloud Computing, Kubernetes";"4 mois, 2 mois, 3 mois";05/01/2025;2
Miller;Jasmine;terry03@yahoo.com;36;Ingénierie;"Cloud, Gestion de projet, DevOps";"SQL, Python";Intermédiaire;"Kubernetes, Docker";"3 mois, 4 mois, 3 mois";07/02/2025;7
Castillo;Christopher;andrea80@hill.com;35;Marketing;"Java, Gestion de projet, SQL";"Python, DevOps";Avancé;"Docker, Cloud Computing";"2 mois, 3 mois, 4 mois";02/02/2025;9
Livingston;Curtis;gperez@yahoo.com;53;Médecine;"DevOps, Cloud, Java";"SQL, Machine Learning";Débutant;"Kubernetes, Cloud Computing";"1 mois, 2 mois, 5 mois";27/01/2025;6
Briggs;Nicole;cguzman@barnes.info;32;Finance;"Cloud, Gestion de projet, Machine Learning";"Cloud, SQL";Débutant;"Blockchain, Deep Learning";"4 mois, 4 mois, 3 mois";14/02/2025;5
Elliott;Donald;ebutler@hotmail.com;57;Médecine;"Gestion de projet, Machine Learning, DevOps";"SQL, Java";Débutant;"Deep Learning, Kubernetes";"1 mois, 4 mois, 2 mois";22/01/2025;1
Melendez;Kelsey;ericgarcia@gmail.com;45;Finance;"Python, Machine Learning, Java";"DevOps, Cloud";Débutant;"Docker, Deep Learning";"6 mois, 3 mois, 3 mois";02/01/2025;2
Kim;Andrea;rodriguezpamela@yahoo.com;38;Médecine;"Gestion de projet, SQL, Machine Learning";"Gestion de projet, DevOps";Débutant;"Deep Learning, Blockchain";"5 mois, 5 mois, 5 mois";01/01/2025;3
Lowe;Amanda;emeyer@hotmail.com;49;Ingénierie;"Python, SQL, Java";"SQL, Java";Intermédiaire;"Deep Learning, Docker";"5 mois, 2 mois, 5 mois";07/01/2025;7
Welch;Joshua;howardsandra@hall-anderson.info;49;Finance;"DevOps, SQL, Machine Learning";"Java, Python";Intermédiaire;"Cloud Computing, Kubernetes";"1 mois, 1 mois, 6 mois";13/01/2025;2
Evans;Travis;mlewis@cardenas.com;37;Marketing;"DevOps, Gestion de projet, Machine Learning";"SQL, Gestion de projet";Avancé;"Blockchain, Cloud Computing";"1 mois, 1 mois, 3 mois";21/02/2025;8
Shields;Gregory;pyu@hotmail.com;43;Ingénierie;"DevOps, SQL, Gestion de projet";"DevOps, Machine Learning";Débutant;"Cloud Computing, Blockchain";"5 mois, 2 mois, 3 mois";03/02/2025;6
Osborn;Ashley;smarquez@rocha.com;45;Médecine;"Cloud, SQL, DevOps";"SQL, Python";Débutant;"Cloud Computing, Blockchain";"2 mois, 4 mois, 3 mois";28/01/2025;9
Jacobs;Nathan;meghan73@medina-ryan.com;35;Finance;"Gestion de projet, Java, Machine Learning";"Java, Python";Avancé;"Blockchain, Deep Learning";"2 mois, 1 mois, 4 mois";18/02/2025;8
Garza;Joseph;robert74@hotmail.com;34;Marketing;"SQL, Machine Learning, Java";"DevOps, Machine Learning";Avancé;"Deep Learning, Docker";"4 mois, 1 mois, 2 mois";01/02/2025;1
Hobbs;John;wross@jones.org;20;Ingénierie;"Gestion de projet, Machine Learning, Python";"Python, SQL";Avancé;"Docker, Kubernetes";"2 mois, 1 mois, 4 mois";28/01/2025;7
Roberts;Mary;esmith@perez-patel.biz;37;Marketing;"Machine Learning, SQL, DevOps";"Python, SQL";Intermédiaire;"Cloud Computing, Deep Learning";"2 mois, 4 mois, 1 mois";22/01/2025;10
Rodriguez;Christopher;williamsangela@townsend.net;56;Informatique;"Python, Gestion de projet, Cloud";"Java, Gestion de projet";Intermédiaire;"Blockchain, Docker";"6 mois, 5 mois, 2 mois";04/01/2025;2
White;Keith;oroberts@yahoo.com;56;Marketing;"Java, SQL, Gestion de projet";"DevOps, Java";Débutant;"Deep Learning, Docker";"3 mois, 4 mois, 5 mois";06/01/2025;1
Todd;Phillip;orogers@hotmail.com;35;Médecine;"Machine Learning, Gestion de projet, Python";"Gestion de projet, Machine Learning";Intermédiaire;"Docker, Deep Learning";"1 mois, 6 mois, 2 mois";26/01/2025;9
Moss;James;andrea87@andrade.info;22;Informatique;"Machine Learning, Cloud, Gestion de projet";"Machine Learning, DevOps";Intermédiaire;"Blockchain, Deep Learning";"3 mois, 1 mois, 4 mois";08/01/2025;1
Leon;Brooke;cruzbrandy@yahoo.com;28;Ingénierie;"DevOps, Python, Machine Learning";"Java, Machine Learning";Avancé;"Deep Learning, Cloud Computing";"2 mois, 4 mois, 3 mois";08/01/2025;5
Anderson;Rhonda;christopher15@salinas-stanley.biz;60;Finance;"Python, Java, Gestion de projet";"Cloud, DevOps";Débutant;"Cloud Computing, Deep Learning";"5 mois, 2 mois, 4 mois";13/02/2025;4
Horton;Nicole;barkersteven@gmail.com;53;Ingénierie;"Gestion de projet, Python, SQL";"DevOps, Cloud";Avancé;"Deep Learning, Blockchain";"1 mois, 4 mois, 1 mois";26/01/2025;5
Walker;Michael;davisbilly@yahoo.com;46;Médecine;"Gestion de projet, Python, Cloud";"SQL, Java";Avancé;"Blockchain, Docker";"2 mois, 6 mois, 6 mois";09/01/2025;8
Ashley;Bonnie;trobinson@johnson-cook.com;43;Marketing;"SQL, Java, Machine Learning";"Java, DevOps";Avancé;"Blockchain, Deep Learning";"6 mois, 5 mois, 4 mois";13/01/2025;10
Kline;Peter;eduardo04@hotmail.com;28;Médecine;"Java, Gestion de projet, SQL";"Java, Cloud";Intermédiaire;"Cloud Computing, Docker";"6 mois, 4 mois, 6 mois";04/01/2025;9
Jones;Jason;drew60@yahoo.com;59;Informatique;"Cloud, Python, SQL";"Python, SQL";Débutant;"Docker, Kubernetes";"5 mois, 5 mois, 2 mois";04/02/2025;4
Chavez;Dean;qwright@hotmail.com;58;Médecine;"Gestion de projet, Python, Java";"Gestion de projet, SQL";Avancé;"Cloud Computing, Deep Learning";"4 mois, 2 mois, 5 mois";31/01/2025;7
Guzman;Gregory;paula96@hotmail.com;49;Médecine;"DevOps, Python, Cloud";"Gestion de projet, Java";Avancé;"Blockchain, Cloud Computing";"4 mois, 1 mois, 5 mois";01/01/2025;2
Christensen;Tiffany;joycelisa@marshall-sharp.org;24;Ingénierie;"Python, Gestion de projet, Cloud";"Machine Learning, DevOps";Intermédiaire;"Docker, Blockchain";"6 mois, 5 mois, 5 mois";23/02/2025;8
Harris;Pamela;debbielewis@zuniga-thomas.com;26;Informatique;"Python, SQL, Java";"SQL, Java";Débutant;"Cloud Computing, Blockchain";"6 mois, 6 mois, 1 mois";09/01/2025;10
Chambers;Brandi;reynoldsamy@parks-welch.com;45;Finance;"Java, Cloud, Gestion de projet";"Machine Learning, Cloud";Intermédiaire;"Deep Learning, Kubernetes";"5 mois, 4 mois, 1 mois";13/02/2025;10
Cruz;Shawn;jamescampbell@hutchinson-taylor.com;55;Informatique;"Java, Python, Machine Learning";"Java, Gestion de projet";Intermédiaire;"Cloud Computing, Deep Learning";"5 mois, 4 mois, 6 mois";28/02/2025;4
Torres;Steve;lisa02@yahoo.com;24;Médecine;"SQL, Java, Python";"Cloud, SQL";Avancé;"Docker, Kubernetes";"3 mois, 5 mois, 1 mois";09/01/2025;2
Cooper;Tracy;fletchermaxwell@chang-barber.com;45;Informatique;"SQL, Python, Gestion de projet";"Python, Java";Intermédiaire;"Docker, Deep Learning";"1 mois, 4 mois, 3 mois";02/02/2025;7
Hall;Samantha;micheleedwards@gmail.com;32;Marketing;"Java, Python, Cloud";"Cloud, Gestion de projet";Intermédiaire;"Cloud Computing, Deep Learning";"3 mois, 3 mois, 2 mois";07/02/2025;7
Clark;William;richardharding@yahoo.com;41;Marketing;"Java, Gestion de projet, Cloud";"Cloud, Python";Intermédiaire;"Cloud Computing, Deep Learning";"5 mois, 5 mois, 3 mois";18/02/2025;10
Torres;Robert;randalltodd@hotmail.com;37;Médecine;"DevOps, Cloud, Python";"Python, SQL";Intermédiaire;"Docker, Deep Learning";"6 mois, 2 mois, 3 mois";20/02/2025;6
Castaneda;Mary;perezbradley@yahoo.com;37;Marketing;"Java, Python, Machine Learning";"Python, SQL";Avancé;"Kubernetes, Docker";"1 mois, 1 mois, 4 mois";05/02/2025;6
Long;Adriana;christineparker@hotmail.com;34;Ingénierie;"Cloud, Machine Learning, Python";"Java, DevOps";Débutant;"Deep Learning, Cloud Computing";"1 mois, 3 mois, 4 mois";07/02/2025;6
